is_multi_model,sampler,scheduler,skip_mode,adaptive_mode,smoothing_beta,anchor_interval,max_consecutive_skips,model_type,total_steps,model_calls,skipped,reduction_percent,total_time_seconds,seed,ssim,rmse,mae,is_baseline,folder_name,prompt,image_path,is_true_baseline,baseline_time,time_saved_seconds,time_saved_percent
True,res_2s,beta+bong_tangent,none,none,0.995,,,wan22-high-noise+wan22-high-noise,26,26,0,0.0,213.58728408813477,2087,,,,True,2025-10-19_07-17-20_1760854640_wan22-high-noise+wan22-high-noise_baseline,,,True,213.58728408813477,0.0,0.0
True,res_2s,beta+bong_tangent,h2/s2,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,20,6,23.076923076923077,151.3382213115692,2087,0.9136425852775574,0.05989517271518707,0.02783294767141342,False,2025-10-19_07-23-49_1760855029_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,62.24906277656555,29.14455466875035
True,res_2s,beta+bong_tangent,h2/s3,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,21,5,19.230769230769234,165.63415837287903,2087,0.8956888318061829,0.08086695522069931,0.037008050829172134,False,2025-10-19_07-27-04_1760855224_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,47.95312571525574,22.451301780431994
True,res_2s,beta+bong_tangent,h2/s4,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,183.61570167541504,2087,0.9503076672554016,0.03742646425962448,0.015428201295435429,False,2025-10-19_07-30-57_1760855457_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,29.971582412719727,14.032475079533405
True,res_2s,beta+bong_tangent,h2/s5,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,202.31758880615234,2087,0.9631656408309937,0.03423004597425461,0.013550106436014175,False,2025-10-19_07-34-43_1760855683_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,11.269695281982422,5.276388681140816
True,res_2s,beta+bong_tangent,h3/s3,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,185.2332260608673,2087,0.9399241209030151,0.04185432195663452,0.019402725622057915,False,2025-10-19_07-38-15_1760855895_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,28.354058027267456,13.275162024892559
True,res_2s,beta+bong_tangent,h3/s4,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,183.6754970550537,2087,0.9500194787979126,0.03949855640530586,0.016362087801098824,False,2025-10-19_07-41-47_1760856107_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,29.911787033081055,14.004479321314953
True,res_2s,beta+bong_tangent,h3/s5,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,193.0613739490509,2087,0.9710373878479004,0.026231875643134117,0.012099665589630604,False,2025-10-19_07-45-38_1760856338_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,20.525910139083862,9.610080593849418
True,res_2s,beta+bong_tangent,h4/s4,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,195.93380045890808,2087,0.9276371002197266,0.043069180101156235,0.02020067721605301,False,2025-10-19_07-49-18_1760856558_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,17.653483629226685,8.265231567784785
True,res_2s,beta+bong_tangent,h4/s5,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,197.55179286003113,2087,0.9323117733001709,0.03802712634205818,0.01860215701162815,False,2025-10-19_07-53-03_1760856783_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,16.035491228103638,7.507699391639225
True,res_2s,beta+bong_tangent,adaptive,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,17,9,34.61538461538461,136.84260320663452,2087,0.8395522832870483,0.08495023101568222,0.04178315028548241,False,2025-10-19_07-55-47_1760856947_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,76.74468088150024,35.931296757269635
True,res_2s,beta+bong_tangent,h2/s4,learning,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,194.9567563533783,2087,0.9503076672554016,0.03742646425962448,0.015428201295435429,False,2025-10-19_08-08-14_1760857694_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,18.63052773475647,8.722676452531115
True,res_2s,beta+bong_tangent,h2/s2,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,20,6,23.076923076923077,156.39469170570374,2087,0.9136425852775574,0.05989517271518707,0.02783294767141342,False,2025-10-19_08-11-18_1760857878_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,57.19259238243103,26.777152313445328
True,res_2s,beta+bong_tangent,h2/s3,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,21,5,19.230769230769234,170.59591031074524,2087,0.8956888318061829,0.08086695522069931,0.037008050829172134,False,2025-10-19_08-14-30_1760858070_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,42.991373777389526,20.128245911703967
True,res_2s,beta+bong_tangent,h2/s4,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,183.30418491363525,2087,0.9503076672554016,0.03742646425962448,0.015428201295435429,False,2025-10-19_08-17-58_1760858278_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,30.28309917449951,14.178324942791761
True,res_2s,beta+bong_tangent,h2/s5,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,190.9561414718628,2087,0.9631656408309937,0.03423004597425461,0.013550106436014175,False,2025-10-19_08-21-38_1760858498_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,22.631142616271973,10.595735000279065
True,res_2s,beta+bong_tangent,h3/s3,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,195.3758101463318,2087,0.9399241209030151,0.04185432195663452,0.019402725622057915,False,2025-10-19_08-25-19_1760858719_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,18.21147394180298,8.526478539934141
